Nom|Prénoms|naissance|décès|Nation|Diocèse|Collège d'études|année de référence|Collège du premier poste|Fonction du premier poste|1ère année attestée du 1er poste|date ultime attestée du 1er poste|Collège du deuxième poste|Fonction du deuxième poste|1ère date attestée du deuxième poste|date ultime attestée du deuxième poste|Collège du troisème poste|Fonction du troisième poste|1ère date attestée du troisième poste|Date ultime attestée du troisième poste|Autres informations|Premier grade connu|Second grade connu|Ordre sacré|Bénéfices|Engagement janséniste|Serment civique|Fonctions universitaires|Publications|Référence de la source 1|Référence de la source 2|Référence de la source 3|Autres références de source
Guillerm|Paul ( Claude)|||France|Léon||1708|Dainville|professeur de philosophie|1708|1708||||||||||||||||||M3314|M3320||
Guillot|||||||1701||professeur de philosophie|1701|1701||||||||||||||||||M3314|||
Guillot de Montjoye|François|||France|Paris (Ville)||1742|Reims|régent|1742|1742||||||||||bachelier en théologie|docteur en théologie (U25 en 1775)|acolyte|Un Guillot de Monjoye est chanoine de Notre-Dame en 1745-1780|||||M3315|U25|arno : quittance d'avancement d'hoirie en 1751|
Guillot de Remilly|Pierre|1725||France|Paris (Ville)|Plessis?|1745|Reims|professeur de philosophie|1745|1745|||||||||Un de Remilly a un prix ( accessit) en 1714 en 6e au Plessis.|||acolyte||||||M3316|||
Guillou|||||||1652|Montaigu|professeur de philosophie|1652|1652||||||||||||||||recteur 1652||Reg 27|Jourdain||
Guimbert (ou Guymbert)|Étienne||||||1740|Plessis|professeur de rhétorique|1740|1759|||||||||Il est en 1767 émérite retiré à Plessis, infirme et proposé comme juge à l'agrégation.|licencié en théologie||||||procureur Nation|Un ouvrage de rhétorique d'après Aristote. |M3317|M3315|M3316|MSJF 414
Guinebault|||1707||||1707|Mazarin|sous maître|1707|1707|||||||||Dupuis est son exécuteur testamentaire|||||||||H/3/2828|||
Guissebault|Jean  Baptiste|||France|Auxerre||1693|Grassins|professeur d'humanités|1693|1703|||||||||||||||||aucune|M3314|||
Guition|||||||1670|Beauvais|professeur de philosophie|1670|1670||||||||||||||||||M3313|||
Guyart (Guiart , Guiard)|François|1734||France|Tribu De Reims|Boursier de Presles en 1754|1768|Mazarin|sous maître|1768|1769|Grassins|professeur de philosophie|1769|1789|||||Agrégé de philosophie en 1769. Décédé après 1813.|licencié en théologie||Prêtre||||||M 3318|H/3/2754/A-B|BN F17/ 4390|MSJF419; carton 26 
Guyon (-Chevalier)|Jean Marie|1748||France|Paris|Harcourt 1e 1766, 1vet 1767|1784|Mazarin|professeur de logique|1791|1791|||||||||Lauréat du concours général; agrégé de lettres en 1784.||||||oui||||M3318|H3 2663 (VI)|
Guyot|Antoine|1729||France|Langres|Plessis 3e 1747, 1vet 1750|1759|Mazarin|professeur de 4e|1759|1766|Mazarin|professeur de rhétorique|1766|1779|||||Il est remplacé par son frère en 1766 en 4e. ||||||||Auteur de deux odes.|M3316|U37(3)|M3317|916 363; h/3/2834; H/3/2835; MSJF 414
Guyot|||||||1766|Mazarin|professeur de 4e|1766|1766|||||||||Il remplace son frère en 1766 dans son poste en 4e.||bachelier en théologie|||||||H/3/2835|||
Habert|Jean Antoine|||France|Paris||1707|Dainville|professeur de philosophie|1707|1707||||||||||bachelier en théologie|docteur en théologie en 1717|clerc|Cure de Villiers (banlieue) en 1735|||||M3314|M3320|U253|
Habert|Louis|1636|1718|France|Blois||1663|||||||||||||Né à Francillon, près de Blois, inspecteur du collège de Mazarin de 1703 à 1706. Chancelier théologal et grand vicaire de Luçon puis de Verdun, il enseigne la théologie au séminaire de cette ville et a été directeur du séminaire de Chalons-sur-Marne. Opposant à Unigenitus, exilé en 1714.||docteur en théologie||chancelier théologal, grand vicaire|janséniste|||Pratique du sacrement de pénitence pour le diocèse de Verdun ; Theologia dogmatica et moralis ad usum seminarii Catalaunensis ; Défense de la théologie du séminaire de Chalons ; Réponse à la 4e lettre d'un docteur de Sorbonne touchant les hérésies du XVIIe siècle|M3313|H/3/2827||
Hachette|Nicolas|||France|Reims (Ville)||1740||||||||||||||bachelier en théologie|docteur en théologie|||||||M3315|U25||
Hainon|Mathieu|||France|Tréguier||1730||||||||||||||bachelier en théologie||||||||M3315|||
Halley|Pierre||||||1655|Harcourt|professeur de rhétorique|||Faculté De Droit|professeur|1655|1655|||||Savant et humaniste de l'université de Caen, il a enseigné plusieurs années à Paris au collège d'Harcourt, avant 1655. Il est nommé professeur de droit à Paris en 1655.|||||||||Jourdain|||
Hambert|||||||1652|Plessis|régent|1652|1652||||||||||||||||||Reg 27|||
Hamel|Jean Thomas|||Normandie|||1750|Navarre|professeur de grammaire|1750|1750|Navarre|professeur d'humanités|1755|1760|||1755|1755||||||||||H/3/*/2597|arno : constitution de tontine en 1761||
Hamel|Pierre Charles|||||Plessis 6e 1763, Montaigu 1vet 1770|1791|Grassins|professeur de philosophie|1791|1791|||||||||Lauréat du concours général, agrégé sans poste en 1770. Assermenté, nommé en 26 avril 1791 par M.M. du Directoire du Département, il succède à Roux qui a refusé le serment. |||prêtre|||oui|||AN2563 (6)|H*/3/2597||
Hamelin|Paul|1710|1777|France|Meaux ||1737|Mazarin|professeur de philosophie|1741|1750|Beauvais|principal|1749|1764|||||Famille de conseillers du roi, originaire de Mitry. Il a été bibliothécaire de l'université.|bachelier en théologie|licencié en théologie|prêtre||||recteur 1749-1750,1767-1769|Oraison funèbre de Louis XV à la Flèche. |U254|M3315|M3316|La France littéraire 1778 †; Bibl. Arsenal Mns 5135; H/3/2833, H/3/2832, Msjf 414 
Hanquet||1761||Picardie|||1785|Mazarin|sous maître|1785|1785||agrégé|1786|1789|Louis-Le-Grand|professeur de 4e|1791|1791|Remplace un réfractaire.||||||oui||Une ode en latin.|H/3/2835|H/3/2754/A-B|H/3/2754|
Hardy|Jacques (ou Joseph)  Pascal|||France|Paris||1706|Cornouaille|professeur de philosophie|1706|1706||||||||||bachelier en théologie|docteur en théologie en 1717|sous-diacre||||||M3314|U253||
Hardy|Pierre|1722||France|Chartres (Ville)||1751|Mazarin|sous maître|1750|1757||||||||||bachelier en théologie||prêtre1751|curé de Saint Maurice de Galou (dioc. de Chartres)||||Essai physique sur l’heure des marées dans la mer rouge comparée à l’heure de passage des Hébreux ; Lettre au P. Calmet|M3316|h/3/2834|Dictionnaire des lettres françaises 18e|H/3/2833
Hauchecorne|Pierre Michel|1754||Normandie|||1785|Mazarin|professeur de physique|1785|1791| Prytanée De St Cyr|professeur|1802|1802|||||||||||oui|recteur 1662, 1674-1675, 1682-1684||H/3/2563 (VI)|H/3/2835|H/3/2754/A-B|MSJF 469; Brockliss
Haüy|Justin rené|1743||Picardie|Amiens|Navarre 3e 1759, 1e 1761|1764|Navarre|professeur de 4e|1764|1769|Cardinal-Lemoine|professeur|1780|1780|Mazarin|professeur|1786|1790|Lauréat du concours général. Décédé après 1797.|||||||||H/3/2754/A-B|MSJF 414|carton 26|916363
Hazon|Philippe Félix|||France|Paris (Ville)||1741|Tours|professeur de philosophie|1741|1741|||||||||Un de ses parents est marchand à Paris.|||acolyte|Canonicat à Noyon en 1751, à St Louis du Louvre en 1761.|||||M3315|arno : transport de rente en 1751, constitution de rente en 1761 ||
Hebert|Nicolas|||Normandie|||1750||professeur de grammaire|1750|1760||||||||||||||||||LP 11/62|H/3/*/2597||
Hedouin|Julien François Jean|1760||Normandie|Coutances (Ville)||1787||agrégé|1787|1790|||||||||Lauréat du concours général, agrégé sans poste en 1787.|||||||||H/3/2754/A-B|||
Helyot (D’)|Benoît Benjamin|1740||France|Toulouse (Ville)||1762|||||||||||||Il est en 1769 professeur des libertés gallicanes dans l’université de Toulouse.|bachelier en théologie||diacre 1762 prêtre 1769|||||Discours sur les grandeurs de Jésus Christ.|M3317|U25|La France littéraire 1769|
Hennebert|Philippe|1753||France|Paris (Ville)|Mazarin 5e 1766, 1vet 1772|1780|Mazarin|sous maître|1782|1785|Mazarin|professeur de 3e|1785|1785|Mazarin|professeur de rhétorique|1791|1791|Lauréat du concours général, agrégé de lettres en 1778. Il est employé au Ministère de l'intérieur en 1802. Décédé après 1802.|||clerc|||oui|||M3318|H/3/2835||
Hennegrave|Antoine||||||1707|Mazarin|sous maître|1707|1713|||||||||||||||||Trois odes en latin (U60)|H/3/2828|U60||
Henocque|Pierre François|||Picardie|Amiens|Montaigu 1e 1769|1777|Cardinal-Lemoine|professeur de 5e|1777|1790|||||||||Lauréat du concours général, agrégé de grammaire en 1777.  |||Prêtre 1777|||non|||H/3/2754/A-B|MSJF 469||
Herivaux (ou Erivaux)|Louis  Pierre|1726||France|Soissons||1752|Lisieux|professeur d'humanités|1752|1767|Louis-Le-Grand|professeur de rhétorique|1768|1784|||||Élu censeur en 1784.|licencié en droit|||||||Consolation à Mme la Dauphine éd en latin et en Français; d'autres odes|U255|U37(3)|M3316,17, 18| La France littéraire 1769, 1778; 916 363 ; MSJF 414
Hermant|Godefroy||||||1643||professeur de philosophie|1643|1643|||||||||||||chanoine de la cathédrale de Beauvais||||Apologie pour l'université; Vérités académiques|Jourdain|||
Heron de La Tuilerie|Augustin Claude Joseph|1734||France|Châlons/ Marne||1757||||||||||||||bachelier en théologie||sous-diacre||||||M3316|U25 ||
Heroult|Olivier|||Normandie|||1670|Beauvais|professeur de philosophie|1670|1673|Navarre|professeur de philosophie|1679|1681|Navarre|principal des artiens|1691|1705|P émérite 1691|licencié en théologie||||||procureur 1681 Censeur 1693-1694||REG 10|||
Herouville (D’)|Jean|||Normandie|Bayeux||1707|La Marche|professeur de grammaire|1707|1707|La Marche|professeur de seconde|1709|1722|||||Il cesse d'enseigner en 1722.||||||||L’Horloge de sable; 5 odes dédicacées en latin entre 1705 et 1719|REG 10|H/3/*/2597||
Herridoy|||||||1665||professeur de rhétorique|1665|1665|||||||||||||||||aucune|M3313|||
Hersan|Marc  Antoine|1652|1724|France|Soissons||1675|Plessis|professeur d'humanités|1675|1675|Collège Royal|éloquence latine|1688|1688|||||Né à Compiègne. Fondateur d'un collège à Compiègne qu'il a dirigé et où il enseigna lui même. Il fonde par testament une maison des sœurs de la charité pour instruire les jeunes filles et soigner les malades. Ami de Rollin dont il fut le maître et qui fit son éloge.|||||||procureur 1698-99 Censeur 1709 recteur 1711-1713 et 1723-1725|Exercices sur les sacrements de la pénitence et de la Sainte Eucharistie, par des prières courtes et des élévations à Dieu… (six rééditions au XVIIIe siècle) ; Idée de la religion chrétienne où l'on explique succinctement tout ce qu'il faut pour être sauvé, Pensées édifiantes sur la mort tirées des Écritures Saintes, Praeceptiones rhetoricae, variis exemplis illustratae, (1727, 1737, 1771), de poésies, d'odes, d'oraisons funèbres|M3313|Dictionnaire des lettres françaises18|Moyne; Hoeffer, Feller...|U60
Hersant|Jean||1690|France|Paris||1652|Maître Gervais |professeur de philosophie|1652|1652|Grassins|professeur de philosophie|1663|1663|Navarre|principal|1673|1673||bachelier en théologie|licencié en théologie|prêtre|chanoine de Sens, curé de St Médéric (Saint Merry) à Paris en 1663|figure dans le Nécrologue des appelants||procureur||M3313|Nécrologue des appelants célèbres|Reg 27|
Hilaire|Antoine|||France|Paris||1732|Bourgogne|professeur de philosophie|1732|1732|||||||||Inspecteur du collège de Mazarin de1754 à 1757.|bachelier en théologie|docteur en théologie|acolyte; prêtre|Cure de st Nicolas du Chardonnet en 1759-1775|||||M3315|||
Himbert|Edmond||||||1661|Plessis|professeur de philosophie|1661|1661||||||||||||||||||M3313|||
Hobey|Simon|||Normandie|Bayeux||1709|La Marche|professeur de 3e|1709|1730|||||||||Il cesse d'exercer entre 1730 et 1735.||||||||aucune|AN 1739|REG 10|LP 11/62|H/3/*/2597/ 
Hochet|Christophe|||France|Le Mans||1679|La Marche|professeur d'humanités|1686|1686|Montaigu|ancien professeur|1717|1717|||||A cessé d'enseigner en 1717. Frère de René André Hochet.|||prêtre 1686||||examinateur baccalauréat 1760|aucune|U253|M3314|reg83|
Hochet|René  André|||France|Le Mans||1689|Lisieux|professeur de philosophie|1689|1717|Lisieux|professeur de philosophie|1706|1717|||||Frère de Christophe Hochet.|||||||||U253|M3314|BHVP2259|Jourdain 
Hooke|Luce- Joseph|||Allemagne|Dublin||1785|Mazarin|procureur|1785|1785|Mazarin|Bibliothécaire|1778|1784||||||docteur en théologie|||||||Religionis  naturalis  et revelatae principia;  Methodo scholastica digesta|H/3/2835||| La France littéraire 1757 et 1769
Houtte|Léonard|||France|||1717|Ste Barbe|professeur de philosophie|1717|1717||||||||||||||||||M3320|||
Hoyau|Quentin||||||1606|Beauvais|principal|1606|1615||||||||||licencié en théologie||prêtre|Canonicat, archidiacre Soissons|||recteur 1611||Jourdain|Compère||
Hubert|Jean Claude|||France|Paris (Ville)||1741|Bayeux|professeur de philosophie|1741|1741|||||||||||docteur en théologie en 1757|sous-diacre||||recteur 1754-1755||M3315|U37||
Hublé|||||||1652|Grassins|régent|1652|1652||||||||||||||||||Reg 27|||
Huchet|||||||1700|Beauvais|professeur de rhétorique|1700|1700||||||||||||||||||M3314|||
Hugot|Pierre |1756||France|Auxerre (Ville)|Plessis 3e 1774, 1e 1778|1782||Agrégé|||||||||||Agrégé en 1782, sans poste jusqu'en 1786 au moins.|||||||||M3318|||
Hugues|Jean François|1745||France|Besançon||1763|Sées |professeur de philosophie|1763|1763||||||||||||clerc||||||M3317|||
Huguet|Claude|||France|Châlons/ Marne||1690|Cambrai|professeur|1690|1690|Cardinal-Lemoine|professeur de 3e|1694|1703||||||bachelier en théologie||clerc 1695|chapellenie en 1695||||aucune|M3314|REG 82||
Huillart|||||||1652|Montaigu|régent|1652|1652||||||||||||||||||Reg 27|||
Hullin De La Selle|Hector Gaspard|||France|Angers||1732|Laon|professeur de philosophie|1732|1732||||||||||||clerc||||||M3315|||
Huré|Charles|1639|1717|France|Sens ||1663|Grassins|professeur d'humanités|1663|1692|Boncourt|principal|||||||Né à Champigny-sur-Yonne, serait fils de laboureur. Proche des jansénistes, mais sans engagement fort. A cessé d'enseigner en 1717. Décédé à Paris.||||||||Dictionnaire de la Bible, 1715; Dictionnaire universel de l’Écriture Sainte, réd 1846; Grammaire sacrée, 1707;  Nouveau Testament (ed en latin avec notes); Nouveau Testament en français 1712; Traduction du Nouveau Testament 1702, Épitres et Évangiles qui se disent à la Messe 1709, Missel romain 1713.|U253|M3313|ABF Moyne|
Huré|Pierre|1752||Normandie||Mazarin 1772|1789|Mazarin|professeur de 3e|1789|1791|||||||||Lauréat du concours général; agrégé de philosophie en 1777, sans poste jusqu'en 1789.||||||réfractaire|||H/3/2563 (VI)|H/3/2754/A-B|MSJF 469|
Imbault|Bernard|||France|Chartres (Ville)||1703|Cardinal-Lemoine|professeur|1703|1703|Cardinal-Lemoine|professeur de philosophie|1711|1717|La Marche|professeur de philosophie|1720|1720|Ensuite procureur puis principal du collège des Dix-Huit.|bachelier en théologie||acolyte 1702|chanoine de Notre-Dame|||||U253|M3314|REG 82|
Imbert|Jean|1725||France|Clermont- Ferrand||1746|Narbonne|professeur de philosophie|1746|1746|||||||||||licencié en théologie|acolyte||||||M3316|U25||
Ingout (ou Ingoult)|Jacques Nicolas|||Normandie|Rouen||1719|Plessis|professeur de grammaire|1719|1759|||||||||Maître ès arts en 1717+ 3 ans de droit. Un Ingoust est vicaire de la Ste chapelle de Vincennes. Il a une sœur mariée à Jean Fr. Morguet musicien et parente veuve d'un marchand bourgeois de Paris.|3 ans de droit||Prêtre|Un Ingoust est vicaire de la Sainte-Chapelle de Vincennes|||GREFFIER 1720 Procureur 1758|De l'homme de Lettres considéré comme un citoyen; Éloge de Marc Aurèle… |REG 10|LP 11/62|H/3/*/2597|arno : transport de rente, quittance de rachat de rente en 1761
Inguimbert (D’)|Antoine Louis|1723||France|Cavaillon||1745|Trésorier|professeur de philosophie|1745|1745||||||||||||acolyte||||||M3316|||
Ivry (D’)|François|||France|Paris||1702|Navarre|principal|1702|1709||||||||||bachelier en théologie||prêtre 1685|chanoine|||||M3314|REG83||
Jacquenet|Claude Antoine François|||France|Besançon (Ville)||1724|Hubant|régent|1724|1724||||||||||||||||||M3315|arno : procuration de rente publique et obligation en 1761||
Jacquet|Louis|1733||France|Lyon||1754||||||||||||||bachelier en théologie|docteur en théologie |clerc||||||M3316|U25||
Jacquin|Jean|||France|Bourges||1663|Cardinal-Lemoine|professeur|1663|1663||||||||||||acolyte||classé janséniste||||M3314|M3320|M3315|
Jacquin|Jean|||France|Châlons/ Marne|Plessis|1720||||||||||||||bachelier en théologie||||||||M3313|||
Jacquin|Pierre|||Allemagne|Toul|La Marche |1765|La Marche|professeur de rhétorique|1765|1780|||||||||Lauréat du concours général.|||||||||916363|H/3/2754/A-B?|MSJF 414|
Jacquin |Étienne|1727||France|Châlons/ Marne||1750|La Marche|professeur de seconde|1750|1761|La Marche|principal|1761|1771|||||Répétiteur Ste Barbe avant d'être professeur.||licencié en théologie|diacre 1750 prêtre 1759|chanoine de Reims|||procureur 1690|Ode sur la mort de Louis le bien-aimé ; Discours prononcés (avec Me Pierre Jacquin) le jour de la procession de l'Université à l'occasion de la profession de Mme Louise-Marie de France ; In pacem carmen… |M3316|U255|U37(3)|La France littéraire 1778; M3317; 916 363/916 363; MSJF 414 ; U 25
Jacquinet|Pierre|||France|Sens||1664|Cardinal-Lemoine|professeur de grammaire|1664|1664||professeur d'humanités|1665|1666|||||||||||||aucune|M3313|||
Jaipirde|Pierre  André|||France|Blois|Le Mans en philosophie.|1724||||||||||||||bachelier en théologie||acolyte||||||M3315|||
Jalenquer|Pierre|1746||France|Saint Flour||1769||agrégé|||||||||||Agrégé de philosophie en 1769.|bachelier en théologie||Prêtre||||||M3317|||
Jamoays|Julien  Joseph|||France|Rennes||1717||||||||||||||licencié en droit||||||procureur de la nation de France||M3314|M3315||
Jandier|Henri|||France|Limoges||1721||||||||||||||bachelier en théologie||||||||M3314|||
Jandin|Claude|||France|Langres||1718||||||||||||||bachelier en théologie|docteur en théologie en 1737|clerc||||||M3314|U254||
Jannart|Étienne Nicolas|||France|Le Mans||1729||||||||||||||bachelier en droit||||||||M3315|||
Jans|Claude  Charles|||France|Paris||1691|Ste  Barbe|régent|1691|1691||||||||||||||||recteur 1702-1703|Éléments de grammaire françoise à l’usage des enfants qui apprennent à lire|M3314|||
Jardin||||Normandie|||1764|Plessis|professeur de 5e|1764|1770|||||||||Un Jean Baptiste Dujardin est boursier de Presles à Partir de 1752. |||||||||916363|H/3/*/2597|H/3/2874/4|
Jarry de Loire|Valentin Charles François HA VENIN|||France|La Rochelle (Ville)||1741|Bourgogne|professeur de philosophie|1741|1741|||||||||||docteur en théologie (|diacre puis prêtre||||||M3315|U37|arno : constitution de tontine|
Jolly|François  Joseph|||France|Autun||1665|La Marche|professeur de rhétorique|1665|1665||||||||||bachelier en théologie|||||||aucune|M3313|||
Joly|Jean||||||1613|Navarre|régent|1613|1613|||||||||Candidat au rectorat en 1613|||||||||Jourdain|||
Joly|Jean|||France|Le Mans||1710||||||||||||||bachelier en théologie||prêtre||||||M3314|||
Joly|||||||1652|Trésorier|professeur|1652|1652||||||||||||||||||Reg 27|||
Josse|Jean||1742|Normandie|Rouen||1730|Lisieux|professeur de grammaire|1730|1735|Lisieux|professeur d'humanités|1735|1739|Lisieux|professeur de rhétorique|1740|1741|||||||||Expositiones modorum significandi in preclara Rothomagi ivitate impensa Roberti Mace, alme universitatis Cadomi bibliopole... |AN 1739|M3315|H/3/*/2597|Jourdain 
Josset|Germain|||Normandie|||1719|Harcourt|professeur de 6e|1719|1719|Harcourt|professeur de grammaire|1719|1735|||||Un Josset est prêtre et chapelain du collège de Harcourt en 1724 (H/3/*/2821).|||||||||REG 10|H/3/*/2597||
Josset|Jean|||Normandie|Avranches||1696|Harcourt|professeur de rhétorique|1696|1719|||||||||Il est en conflit avec GRENAN en 1705. Il prononce l’éloge funèbre du Dauphin et de la Dauphine dans la chapelle des Dominicains. Un Josset est prêtre et chapelain du collège de Harcourt en 1724 (H/3/*/2821). Il semble que Jean Josset ait laissé une veuve, Elisabeth Revelle, maître lingère.||licencié en théologie|marié||||procureur nation 1751 Censeur 1744 questeur 1738|aucune|REG 10|LP 11/62|H/3/2597|arno : contrat d'apprentissage 1751
Joubert|André||||||1708||||||||||||||bachelier en droit||||||||M3314|Maire||
Jouffroy|Jean François|||France|Besançon||1740||||||||||||||bachelier en théologie||acolyte||||||M3315|||
Jourdan|Pierre|||Normandie|Coutances|Harcourt (boursier)|1715|Collège Du Bois A Caen|professeur de philosophie|||Harcourt|professeur de grammaire|||Harcourt|principal des artiens|1715|1717|Le poste de principal des artiens à Harcourt en 1715-1717 (H/3/*/2821) ne figure normalement pas dans l'organisation de ce collège. |bachelier en théologie|licencié en théologie|prêtre||||CHAPELAIN NATION 1719||H/3/*/2821|Reg 10|Oursel|
Journu|Jacques|1733||France|Bordeaux (Ville)||1757||||||||||||||bachelier en théologie|docteur en théologie|diacre||||||M3316|h/3/2554 (thèse de théologie)|U25|
Jouy|Étienne Louis|1748|1827|France|Paris (Ville)|Cardinal Lemoine 1764 en 6e |1774|Navarre|professeur de 6e et de 5e|1774|1791|||||||||Lauréat du concours général, agrégé de grammaire, il commence à enseigner en 1774.||licencié en théologie|prêtre 1777|Prêtre habitué de  St Étienne du Mont en 1790; en 1807 il est titulaire de la cure de Créteil, de 1810 à 1813 de la cure de Suresnes.||jureur tardif|||MSJF 469|M3317|BN F17/ 4390|U 25; Dainville-Barbiche; H3 2563 (VI) 
Juary|Jean|||France|Saint- Flour||1712||||||||||||||bachelier en théologie||||||||M3314|||
Judée|Pierre|1709||France|Rennes||1746||||||||||||||bachelier en théologie|docteur en théologie|prêtre 1746||||recteur 176917-71||M3316|U37||
Julian|||||||1791|Montaigu|professeur de 6e|1791|1791|||||||||Nommé par le directoire à la place de Barrier.||||||oui|||H/3/2563 (VI)|||
Julien|Jacques Louis||1794||||1791|Cardinal-Lemoine|professeur de 5e|1791|1794|||||||||Entré dans l'enseignement en remplacement d'un réfractaire. Juge suppléant du tribunal révolutionnaire, marié le 13/6/1792. ||||||oui|||H/3/2563|carton 26||
Julien|Jean François|1726||France|Le Mans||1749||||||||||||||bachelier en théologie||acolyte 1749 prêtre 1761||||||M3316|||
Julien|Michel Louis|1759||France|Paris (Ville)|Grassins en 6e 1773, 1e 1779|1782|Grassins|professeur de 4e|1785|1785|Grassins|professeur de seconde|1786|1790|||||Lauréat du concours général, agrégé de lettres en 1782, il commence à enseigner au collège des Grassins en 1785.|||||||procureur 1745 Censeur 1748 questeur 1756||M3318|AN 2563 (6)||
Jullien|Bernard|1752||France|||1791|Navarre|professeur de 5e|1791|1791|||||||||Agrégé de grammaire en 1774, sans poste dans les années qui suivent. ||licencié en théologie|||||||H3 2563 (VI)|MSJF 469||
Jullienne|||||||1652|Navarre|professeur d'humanités|1652|1652||||||||||||||||recteur 1613||Reg 27|||
Junot|Jacques|1732||France|Autun||1755||||||||||||||bachelier en théologie|licencié en théologie|diacre||||censeur||M3316|U25||
Kerbic|YVES|||France|Léon||1602|Plessis|professeur de philosophie|1602|1602|||||||||||Licencié droit |||||||Jourdain|||
L’aulne  (de)|Simon Jean|||France|Paris||1720|||||||||||||un Jean Baptiste Simon  a un prix au Plessis en 1711 en rhétorique/. |bachelier en théologie||diacre||classé janséniste||||M3314|M3320||
L’epee (de)|Charles Michel|1712|1789|France|Paris||1734|||||||||||||Né à Versailles, fils d'un architecte du roi, avocat au Parlement de Paris, chanoine de Troyes, interdit à Paris comme janséniste, Fondateur d'un système de communication pour les sourds-muets et d'une école qui leur est consacrée. Décédé à Paris.|licencié en droit|||chanoine de Troyes|Janséniste|||Institution des sourds-muets par la voie des signes méthodiques ; L'art d'enseigner et de parler aux sourds-muets de naissance ; Dactylologie ; Dictionnaire des sourds-muets. |M3315|Dictionnaire des lettres françaises18||
L’etendart|Augustin|1759||France|Châlons/ Marne|Montaigu 4e 1776, 1vet 81|1786|Montaigu|professeur de 6e|1786|1786|Montaigu|professeur de 3e|1791|1791|||||Lauréat du concours général, agrégé de lettres en 1785. Il est en 1802 employé à la préfecture de Paris.||||||oui|||M3318|H3 2663 (VI)||
L’etrier (ou Letrier, Lettrier)|Alexandre Prosper|1731||France|Paris||1756|Montaigu|professeur de philosophie en 2e année|1758|1771|||||||||Il commence à enseigner en 1758 et cesse en 1771.|bachelier en théologie||acolyte||||||M3316|U255,U37; U25|U37(3)|MSJF 414
L’evesque|Louis|||France|Soissons||1674|Bourgogne|régent de philosophie|1674|1674|||||||||Né à Compiègne.|bachelier en théologie||||||||M3313|||
L’hermite (ou L’hermitte)|Guillaume François|||Normandie|Coutances||1712|Harcourt|professeur de 5e|1712|1724|Harcourt|professeur de grammaire|1730|1739|||||Interruption de l'enseignement de 1724 à 1730, puis reprise.|bachelier en théologie||||||||REG 10|AN 1739|H/3/*/2597|U39; arno : constitution de rente en 1751
L’hermitte|Jean Baptiste||||||1791|Harcourt|professeur de 6e|1791|1791|||||||||Agrégé sans poste de 1786 à 1790.||licencié en théologie|||||||AN2563 (6)|H/3/*/2597|H/3/2754/A-B|
L’hermitte|Jean Charles|1725||Normandie|||1753|Harcourt|professeur de 6e|1753|1765|||||||||Décédé après 1797|||||||||916363|H/3/*/2597||
L’heureux|Pierre|||France|Châlons/ Marne||1720||||||||||||||licencié en droit||||||examinateur baccalauréat 1746||M3314|M3320|M3316|
L’homond||||Picardie|||1757|Cardinal-Lemoine|professeur de 6e|1757|1767|||||||||Pédagogue célèbre par ses ouvrages de grammaire et d'histoire romaine très largement diffusés. ||||||||Nombreux ouvrages souvent édités, dont De viris illustribus urbis Romae ; Éléments de grammaire latine ; Epitome historiae sacrae...|916363|H/3/2754/A-B|Dictionnaire des lettres françaises 18e|"MSJF 414; ""Lhommond et Haüy professeurs au collège du cardinal Lemoine"" extrait des mémoires de l'académie nationale des sciences, arts et belles lettres de Caen 1884, par M. H. Moulin"
La Barre  (de)|Henri Maurice|1726||France|Nevers||1751||||||||||||||bachelier en théologie|docteur en théologie|prêtre||||||M3316|U25||
La Briere  de  Louvency  (de)|Jean||1712|Normandie|Coutances|Boursier à Harcourt|1701|Harcourt|principal et proviseur|1701|1712|||||||||Né à Vire. Sa direction du collège est considérée comme catastrophique.|licencié en théologie||prêtre|boursier et prieur de Harcourt|||doyen||M3314|REG 10|H/3/*/2821|
La Broue  (de)|François|1686|1758|France|Cahors |Beauvais|1738|||||||||||||Son père était gouverneur de Moissac et capitaine de cavalerie; son oncle Pierre de la Broüe, évêque de Mirepoix et appelant célèbre († 1720). Il est lui-même appelant et réappelant. Ancien élève de Rollin.|licencié en théologie||diacre 1738-1758|chanoine de Moissac|appelant||||M3315|||
La Chassaigne  (de)|Antoine|1682|1760|France|Chartres |Orléans, Philosophie à Paris au collège de Mazarin|1703|Presles|professeur de philosophie|1703|1705|||||||||"Né à Châteaudun, l'on précise qu'"" il professa ensuite la philosophie pour être reçu dans la Société de Sorbonne"". Passé par le séminaire de Saint-Nicolas-du-Chardonnet, il choisit ensuite d'être directeur des missions étrangères. Janséniste, chassé de la Sorbonne et exilé de Paris en 1721, et en 1725-1727, il doit se cacher après une lettre de cachet."|bachelier en théologie|docteur en théologie en 1710|clerc 1705||appelant|||Vie de Nicolas Pavillon|M3314|Dictionnaire des lettres françaises 18e||
La Coré (de)|Simon  Pierre|||France|Paris (Ville)||1712|||||||||||||||docteur en théologie en 1737|sous-diacre||||||M3314|U254||
La Croix  (de)|Esprit- François|||France|Paris (Ville)||1733||||||||||||||bachelier en théologie||||||||M3315|||
La Croix  (de)|Louis Antoine Nicole|||France|Paris (Ville)||1730||||||||||||||bachelier en droit|licencié en droit|clerc||classé janséniste||||M3315|||
La Fare d'Allais  (de)|Joachim Joseph|||France|Clermont- Ferrand||1730|Laon|professeur|1730|1730|||||||||Il faisait fonction de professeur avant d'obtenir officiellement une régence. |||||||||M3315|||
